1,42.71417269,-84.48174862,84.8,85,55,54,41,41,1491674542
2,42.71394763,-84.48171338,84.8,85,55,54,41,41,1491675191
3,42.71383147,-84.48153828,84.8,85.1,48,48,48,48,1491675367
6,42.71416656,-84.48106015,84.9,85.2,48,47,48,49,1491675842
9,42.71378148,-84.48067319,84.8,85,54,55,42,41,1491676900
10,42.71371853,-84.48048104,84.7,84.9,56,56,40,40,1491677045
11,42.71361437,-84.48018408,10.3,10.6,45,51,51,45,1491677203
12,42.71384495,-84.4801528,10.2,10.6,50,56,47,40,1491677363
13,42.71362065,-84.47966387,10,10.4,49,55,47,41,1491677517
14,42.7133452,-84.48039758,84.7,84.9,58,57,38,39,1491677942
15,42.71374215,-84.47939854,84.7,84.9,45,48,51,48,1491678181
16,42.71342955,-84.47902754,84.7,84.9,51,49,45,47,1491678502
17,42.71328898,-84.47928965,9.99,10.4,37,44,59,53,1491678722
18,42.71313346,-84.48017675,8.94,9.32,61,68,37,31,1491679073
19,42.71323821,-84.48104774,94.1,94.5,46,46,50,50,1491679326
21,42.71322062,-84.48195398,68.8,69.1,61,61,35,35,1491679747
22,42.71352763,-84.48169824,84.7,84.9,54,54,40,41,1491679885
23,42.71280407,-84.48115782,10,10.4,38,45,58,51,1491680134
24,42.71272004,-84.48157057,84.8,85.1,53,54,43,42,1491680368
25,42.71238686,-84.48133905,85,85.2,45,47,51,49,1491680553
26,42.71263253,-84.48108781,10,10.4,41,48,55,48,1491680722
27,42.71282361,-84.48188873,73.3,73.5,60,61,36,35,1491681016
28,42.7122241,-84.48149392,84.8,85.1,48,48,48,48,1491681255
29,42.71242891,-84.48096102,86.4,86.6,45,46,49,50,1491681453
30,42.7125365,-84.48060206,84.8,85.1,49,49,47,47,1491681671
31,42.71279164,-84.48022479,84.8,85,52,52,44,44,1491681874
32,42.71260197,-84.4797865,84.7,84.9,51,50,45,46,1491682064
33,42.71218722,-84.48019516,85.1,84.9,48,47,48,49,1491682247
34,42.71233196,-84.47897665,84.7,85,57,56,39,40,1491682517
1,42.71476827,-84.49168156,74.9,75.2,58,60,38,36,1491683973
2,42.71520632,-84.49184727,48.9,54.7,59,65,37,31,1491684620
3,42.71506266,-84.49244247,84.7,84.4,55,54,41,52,1491684993
4,42.70954389,-84.49423578,84.7,84.9,49,48,47,48,1491686440
5,42.70919647,-84.49423082,74.2,74.5,62,66,34,30,1491686843
6,42.70886053,-84.49474501,84.6,84.8,52,52,44,44,1491687170
6,42.70916968,-84.49338393,999,999,999,999,999,999,1491688452
7,42.70895535,-84.49311257,999,999,999,999,999,999,1491688490
8,42.70891404,-84.49302675,84.6,84.9,55,56,41,40,1491688579
9,42.70854634,-84.49249505,10.1,10.5,58,66,38,30,1491689263
1,42.68567647,-84.48627825,84,84.2,49,54,47,42,1491863880
3,42.68565419,-84.48705141,74.1,74.3,63,63,33,33,1491864368
3,42.68566263,-84.4855606,999,999,999,999,999,999,1491865024
4,42.68566963,-84.48609783,83.1,83.3,55,60,41,36,1491865247
5,42.68561899,-84.48516366,74.6,74.8,61,63,35,33,1491865590
6,42.68567523,-84.48460196,74.7,74.9,62,64,34,32,1491865788
7,42.68562698,-84.48437107,999,999,999,999,999,999,1491865990
1,42.70450514,-84.49241384,84.5,84.8,52,52,44,44,1491765576
2,42.70451103,-84.49125144,999,999,999,999,999,999,1491766421
3,42.70452416,-84.49013958,84.4,84.7,59,59,37,37,1491767235
4,42.70447338,-84.48871584,84.6,84.8,55,55,41,41,1491767462
6,42.70449832,-84.48645822,10,10.4,55,62,41,34,1491767978
7,42.70449294,-84.48507785,999,999,999,999,999,999,1491768409
8,42.70444651,-84.48442291,83,83.3,56,57,40,39,1491768724
9,42.7044882,-84.48148331,999,999,999,999,999,999,1491769660
10,42.7044834,-84.48033824,81,81.3,53,52,43,44,1491769851
11,42.7044765,-84.47937217,999,999,999,999,999,999,1491770245
11,42.70441577,-84.47638202,84.5,84.8,48,50,48,46,1491772132
12,42.70443263,-84.47636557,84.5,84.8,48,50,48,46,1491772141
13,42.70444214,-84.47476435,84.5,84.7,51,51,45,45,1491772553
14,42.70463943,-84.47320565,84.5,84.7,54,54,42,42,1491772845
15,42.70455717,-84.47143984,75.9,76.1,59,60,37,36,1491773301
16,42.70461282,-84.46941022,84.5,84.8,46,49,50,47,1491773566
17,42.70543955,-84.46939435,10.2,10.6,38,48,58,48,1491773827
19,42.70841686,-84.46939374,10.3,10.6,44,50,52,46,1491774326
20,42.70996063,-84.4714569,64.8,65,60,63,36,33,1491774772
21,42.71130851,-84.47173163,84.4,84.6,50,49,46,47,1491775021
22,42.71151546,-84.46937235,999,999,999,999,999,999,1491775230
23,42.71247541,-84.47459275,84.7,85,48,49,48,47,1491775603
24,42.71290202,-84.47498458,84.6,84.9,55,55,41,41,1491775863
1,42.70310707,-84.47272777,84.5,84.8,58,58,38,38,1491781518
2,42.70282144,-84.47440698,72.3,72.6,50,54,46,42,1491781766
3,42.70258998,-84.47257695,84,84.3,54,55,42,41,1491782014
4,42.701749,-84.47258058,999,999,999,999,999,999,1491782372
5,42.70094474,-84.47384207,84,84.3,53,53,43,43,1491782827
7,42.70095529,-84.47595826,79.1,79.3,58,58,38,38,1491783236
9,42.70090395,-84.47888731,84.1,84.4,52,52,44,44,1491783724
10,42.7008125,-84.47976189,999,999,999,999,999,999,1491783997
12,42.70028129,-84.48213148,999,999,999,999,999,999,1491784530
13,42.7002614,-84.48334691,68,68.2,63,66,33,30,1491784883
14,42.6972601,-84.49214404,74.1,74.4,62,64,39,32,1491786458
15,42.69722987,-84.49152263,999,999,999,999,999,999,1491786633
16,42.69724997,-84.49528968,84.1,84.3,55,55,41,41,1491787045
17,42.69726415,-84.49457688,73.9,74.1,61,64,35,33,1491787438
19,42.69726112,-84.48884787,999,999,999,999,999,999,1491788524
20,42.69725069,-84.48784637,63.4,63.6,60,66,36,30,1491788722
21,42.69727558,-84.4871041,73.8,74,61,64,34,32,1491789020
22,42.69724899,-84.48504386,84.4,84.7,52,52,44,45,1491789503
23,42.69722011,-84.48211256,73.1,73.3,56,61,38,35,1491789847
24,42.69720062,-84.48069843,999,999,999,999,999,999,1491790096
25,42.69721761,-84.48012352,999,999,999,999,999,999,1491790426
27,42.6972128,-84.47681075,62.8,63.1,58,63,38,33,1491791042
28,42.69723474,-84.4757429,999,999,999,999,999,999,1491791294
29,42.69727218,-84.47496985,999,999,999,999,999,999,1491791497
30,42.6972789,-84.47440797,999,999,999,999,999,999,1491791617
1,42.70976777,-84.47879407,84.4,84.7,50,51,46,45,1491852641
1,42.70936707,-84.47959799,10.2,10.6,55,48,41,48,1491852946
2,42.70936707,-84.47959799,10.2,10.6,55,48,41,48,1491852947
3,42.7096189,-84.4794648,10.2,10.6,53,64,43,50,1491853137
4,42.70961862,-84.47945024,83.1,83.3,53,64,43,50,1491853204
5,42.70920223,-84.47890631,84.7,84.9,49,42,47,54,1491853389
6,42.70895495,-84.47956677,72.2,72.5,51,51,45,45,1491853537
7,42.7087708,-84.48095365,84.5,84.6,52,50,44,46,1491853860
8,42.70814852,-84.48112603,84,84.2,49,43,47,53,1491854064
9,42.70831647,-84.4802675,84.2,84.5,52,52,44,44,1491854214
10,42.70732266,-84.48121174,84.5,84.7,53,57,43,49,1491854394
11,42.70679942,-84.48080966,84.6,84.8,55,52,41,44,1491854592
12,42.70648789,-84.48125047,78.3,78.5,59,60,37,36,1491856185
